date,index_max,index_mean,n_cells
1989-01-01,0.0015074351270698344,0.0004270956688571066,157
1989-01-02,0.001036765372593343,0.00044534762536484115,157
1989-01-03,4.8292797055251495e-08,2.0101577202721492e-09,157
1989-01-04,0.8671418238664109,0.6829989686054081,157
1989-01-05,0.3116616141207066,0.22381935383657095,157
1989-01-06,1.2246620510828157,0.1062467582255434,157
1989-01-07,0.005348690595086998,0.0019101086991389466,157
1989-01-08,1.0721806926899326e-14,6.82917638656008e-17,157
1989-01-09,0.004796541621668324,0.0018163028034460054,157
1989-01-10,0.08383310615236976,0.015110945109038829,157
1989-01-11,0.09642448650443906,0.011673726589106731,157
1989-01-12,0.13569494520601694,0.07784508820719092,157
1989-01-13,3.0862943169740334e-07,9.880784140881117e-08,157
1989-01-14,0.08491357289900367,0.021433195943679147,157
1989-01-15,0.0,0.0,157
1989-01-16,0.003268815466276147,0.0012767858936924468,157
1989-01-17,0.02135373324056282,0.007140488869260362,157
1989-01-18,0.147420629422252,0.04731677576089954,157
1989-01-19,0.010083838706112215,0.003816652877450089,157
1989-01-20,0.014241219205144028,0.0070871472783318986,157
1989-01-21,0.5241336554737985,0.3802356200350939,157
1989-01-22,0.19925679885800673,0.15471850795318676,157
1989-01-23,0.0002147555252802972,3.400083316285946e-05,157
1989-01-24,0.005343737244915019,0.0021053872135911884,157
1989-01-25,0.0019300833702611266,0.0008690313883763767,157
1989-01-26,0.0,0.0,157
1989-01-27,0.0,0.0,157
1989-01-28,0.0,0.0,157
1989-01-29,1.4178293457529666e-05,1.0043252301313547e-07,157
1989-01-30,6.533353173103372e-05,1.6688840601298967e-05,157
1989-01-31,0.0044590440498942915,0.0015934869379248277,157
1989-02-01,0.0026525600361036543,0.0010402481402187135,157
1989-02-02,0.0,0.0,157
1989-02-03,3.341350819153099e-10,3.4022462648852482e-12,157
1989-02-04,1.1074998152687199e-05,1.0912757480308838e-06,157
1989-02-05,0.052053497909364685,0.011069598585605984,157
1989-02-06,0.0012423381580572723,6.901178553784366e-05,157
1989-02-07,0.0,0.0,157
1989-02-08,0.0,0.0,157
1989-02-09,0.0,0.0,157
1989-02-10,2.8385603586811368e-05,3.190751479182958e-07,157
1989-02-11,0.00013828991015739115,1.2528825637686167e-05,157
1989-02-12,0.03666920421054621,0.02483474300834357,157
1989-02-13,0.14105399391894366,0.09908272781172628,157
1989-02-14,0.0,0.0,157
1989-02-15,0.021863378509574243,0.010761462942341494,157
1989-02-16,0.06943310444379452,0.03170500827132374,157
1989-02-17,0.31757246039783366,0.13818892947731407,157
1989-02-18,0.3991732043445613,0.24370432047576515,157
1989-02-19,5.227182002279019e-06,1.1467672020962473e-06,157
1989-02-20,0.2747357554306908,0.20552529827059943,157
1989-02-21,0.4357252110814954,0.30021293001877153,157
1989-02-22,0.23614263599419597,0.07305887356599154,157
1989-02-23,0.3741308924823564,0.28147212105727987,157
1989-02-24,0.2931829080013284,0.22382989718039933,157
1989-02-25,0.6822588086871509,0.4381616004339815,157
1989-02-26,0.18554788847094722,0.1423577210613258,157
1989-02-27,0.22452062965822003,0.1208244220256243,157
1989-02-28,0.26974031160404366,0.03338634256676647,157
1989-03-01,0.038834390367144714,0.003402754495025979,157
1989-03-02,0.47468261736369255,0.41998979442016304,157
1989-03-03,0.17884233197593483,0.05151061871994694,157
1989-03-04,0.5067094108563394,0.2539605986675278,157
1989-03-05,1.7880461947719122e-08,1.2949870145170812e-10,157
1989-03-06,0.0,0.0,157
1989-03-07,2.391781205328027,1.816897774435762,157
1989-03-08,0.00436955707257388,0.00013406159933554006,157
1989-03-09,4.234885294564379e-06,5.5775586556684985e-08,157
1989-03-10,0.0,0.0,157
1989-03-11,0.0,0.0,157
1989-03-12,0.0020154302756890605,0.0003027429622156775,157
1989-03-13,0.06028609766737964,0.03143903274877648,157
1989-03-14,0.3136064818680339,0.259308455208354,157
